Jahr;Monat;Monatname;COICOP10;Produkt;VPI
2020;MONAT01;Januar;CC13-0112410200;Tiefgefrorenes Geflügelfleisch;100.2
2020;MONAT01;Januar;CC13-0112500100;Kaninchenfleisch oder anderes Wildfleisch;99.1
2020;MONAT01;Januar;CC13-0112600100;Leber oder andere Innereien;99.6
2020;MONAT01;Januar;CC13-0112710200;Salami, Zervelatwurst oder andere Dauerwurst;97.3
2020;MONAT01;Januar;CC13-0112710300;Roher Schinken, Schinkenspeck oder Bauchspeck;96.8
2020;MONAT01;Januar;CC13-0112721100;Fleischwurst;99.1
2020;MONAT01;Januar;CC13-0112721200;Bratwurst;95.7
2020;MONAT01;Januar;CC13-0112721300;Wurstaufschnitt;96.7
2020;MONAT01;Januar;CC13-0112722100;Leberwurst oder Blutwurst;96
2020;MONAT01;Januar;CC13-0112723100;Wurstkonserve;95.6
2020;MONAT01;Januar;CC13-0112801100;Feinkostsalat auf Fleischbasis;98
2020;MONAT01;Januar;CC13-0112805100;Tiefgefrorenes, tafelfertig zubereitetes Fleisch;99.5
2020;MONAT01;Januar;CC13-0112806100;Gekochter Schinken oder anderes gegartes Fleisch;97.4
2020;MONAT01;Januar;CC13-0112807200;Fleischfertiggericht ohne Beilage, konserviert;99.1
2020;MONAT01;Januar;CC13-0112808100;Gyros oder andere fertige Fleischpfanne;95.6
2020;MONAT01;Januar;CC13-0112808200;Zubereitetes Hackfleisch;96.6
2020;MONAT01;Januar;CC13-0113100100;Fischfilet, frisch oder gekühlt;100.6
2020;MONAT01;Januar;CC13-0113100200;Kabeljau oder Lachs, frisch oder gekühlt;102.9
2020;MONAT01;Januar;CC13-0113100300;Scholle, Forelle oder Karpfen, frisch oder gekühlt;99.8
2020;MONAT01;Januar;CC13-0113200100;Tiefgefrorenes Fischfilet;99.8
2020;MONAT01;Januar;CC13-0113300200;Meeresfrüchte, frisch oder gekühlt;99.2
2020;MONAT01;Januar;CC13-0113400100;Tiefgefrorene Meeresfrüchte;101.3
2020;MONAT01;Januar;CC13-0113500100;Räucherfisch;100.8
2020;MONAT01;Januar;CC13-0113601200;Fischkonserve;101.1
2020;MONAT01;Januar;CC13-0113602100;Fischmarinade;103
2020;MONAT01;Januar;CC13-0113602200;Eingelegte Matjes, Fischsalat oder Ähnliches;100.8
2020;MONAT01;Januar;CC13-0113603000;Fischstäbchen o.a. tiefgefrorene Fischzubereitung;100.1
2020;MONAT01;Januar;CC13-0114110100;Vollmilch;98.1
2020;MONAT01;Januar;CC13-0114210100;Teilentrahmte Milch;97.7
2020;MONAT01;Januar;CC13-0114300100;Kondensierte Milch;99.7
2020;MONAT01;Januar;CC13-0114400200;Joghurt;100.8
2020;MONAT01;Januar;CC13-0114501100;Hartkäse;100.3
2020;MONAT01;Januar;CC13-0114502100;Schnittkäse;100.6
2020;MONAT01;Januar;CC13-0114503100;Weichkäse;101.2
2020;MONAT01;Januar;CC13-0114507100;Quark;97.1
2020;MONAT01;Januar;CC13-0114507200;Frischkäse;100.9
2020;MONAT01;Januar;CC13-0114601100;Sahne;100.7
2020;MONAT01;Januar;CC13-0114604100;Fertigdessert;102.4
2020;MONAT01;Januar;CC13-0114606100;Buttermilch oder anderes Milchgetränk;98.3
2020;MONAT01;Januar;CC13-0114609100;Sojamilch, Reismilch o.Ä., ohne Kokosmilch;99.9
2020;MONAT01;Januar;CC13-0114701100;Eier;98.9
2020;MONAT01;Januar;CC13-0115100100;Butter;102.9
2020;MONAT01;Januar;CC13-0115201100;Margarine oder Pflanzenfett;102
2020;MONAT01;Januar;CC13-0115300100;Olivenöl;103.4
2020;MONAT01;Januar;CC13-0115400100;Sonnenblumenöl, Rapsöl oder Ähnliches;100.2
2020;MONAT01;Januar;CC13-0115500100;Schmalz oder anderes tierisches Speisefett;100
2020;MONAT01;Januar;CC13-0116111000;Zitrusfrüchte;85.9
2020;MONAT01;Januar;CC13-0116120100;Bananen;99.6
2020;MONAT01;Januar;CC13-0116130200;Äpfel;91.2
2020;MONAT01;Januar;CC13-0116140100;Birnen;98.2
2020;MONAT01;Januar;CC13-0116150000;Pfirsiche, Kirschen o.a. Stein- oder Kernobst;103.1
2020;MONAT01;Januar;CC13-0116161100;Erdbeeren, Himbeeren, Stachelbeeren oder Ähnliches;103.9
2020;MONAT01;Januar;CC13-0116165100;Weintrauben;111.6
2020;MONAT01;Januar;CC13-0116170000;Kiwis, Melonen oder Ähnliches;96.1
2020;MONAT01;Januar;CC13-0116200200;Tiefgefrorenes Obst;99.7
2020;MONAT01;Januar;CC13-0116301100;Trockenobst;102
2020;MONAT01;Januar;CC13-0116303100;Erdnüsse, Studentenfutter oder Ähnliches;101
2020;MONAT01;Januar;CC13-0116309100;Süße Mandeln, Kokosraspeln oder Ähnliches;98.9
2020;MONAT01;Januar;CC13-0116401100;Apfelmus oder andere Kernobstkonserve;101.5
2020;MONAT01;Januar;CC13-0116402100;Sauerkirschen oder andere Steinobstkonserve;100.4
2020;MONAT01;Januar;CC13-0116403100;Ananaskonserve, Erdbeerkonserve oder Ähnliches;99.3
2020;MONAT01;Januar;CC13-0117111100;Kopfsalat oder Eisbergsalat;115.9
2020;MONAT01;Januar;CC13-0117119000;Feldsalat, Lauch, Sellerie oder Ähnliches;99.7
2020;MONAT01;Januar;CC13-0117121000;Blumenkohl, Wirsing oder anderer Kohl;93.8
2020;MONAT01;Januar;CC13-0117131100;Tomaten;114.1
2020;MONAT01;Januar;CC13-0117133100;Paprika;85.5
2020;MONAT01;Januar;CC13-0117134100;Gurken;100.3
2020;MONAT01;Januar;CC13-0117139000;Kürbisse, Auberginen oder Mais;99.8
2020;MONAT01;Januar;CC13-0117141100;Zwiebeln, Knoblauch oder Ähnliches;92.1
2020;MONAT01;Januar;CC13-0117142100;Champignons oder andere Pilze;99.2
2020;MONAT01;Januar;CC13-0117145100;Möhren;86.5
2020;MONAT01;Januar;CC13-0117149200;Hülsenfrüchte, Spargel, Radieschen oder Ähnliches;98.2
2020;MONAT01;Januar;CC13-0117201100;Tiefgefrorener Spinat;97.8
2020;MONAT01;Januar;CC13-0117209100;Buttergemüse oder anderes tiefgefrorenes Gemüse;97.3
2020;MONAT01;Januar;CC13-0117310200;Trockengemüse;98.6
2020;MONAT01;Januar;CC13-0117321100;Gurkenkonserve;99
2020;MONAT01;Januar;CC13-0117323100;Sauerkrautkonserve;97.8
2020;MONAT01;Januar;CC13-0117324100;Pilzkonserve;100.5
2020;MONAT01;Januar;CC13-0117325100;Erbsenkonserve;98.9
2020;MONAT01;Januar;CC13-0117328400;Stangenspargel oder andere Gemüsekonserve;98.9
2020;MONAT01;Januar;CC13-0117329100;Gemüseprodukt, vegetarisch oder vegan;101.7
2020;MONAT01;Januar;CC13-0117329200;Antipasti auf Gemüsebasis, ohne Oliven;101.7
2020;MONAT01;Januar;CC13-0117401300;Kartoffeln;97.1
2020;MONAT01;Januar;CC13-0117402100;Pommes frites oder Ähnliches, tiefgefroren;101.2
2020;MONAT01;Januar;CC13-0117403100;Kartoffelkloßmehl oder Kartoffelpüree;100
2020;MONAT01;Januar;CC13-0117500200;Kartoffelchips oder Kartoffelsticks;101.6
2020;MONAT01;Januar;CC13-0118100100;Zucker;99.7
2020;MONAT01;Januar;CC13-0118201100;Marmelade, Konfitüre oder Gelee;102.5
2020;MONAT01;Januar;CC13-0118203100;Honig;101.2
2020;MONAT01;Januar;CC13-0118205100;Brotaufstrich auf Nougatbasis;98.1
2020;MONAT01;Januar;CC13-0118301100;Schokoladentafel;99.3
2020;MONAT01;Januar;CC13-0118309100;Riegel oder andere Erzeugnisse aus Schokolade;99.3
2020;MONAT01;Januar;CC13-0118401100;Pralinen;101.4
2020;MONAT01;Januar;CC13-0118405100;Bonbons;100.7
2020;MONAT01;Januar;CC13-0118409100;Kaugummi, Gummibärchen oder Ähnliches;100.9
2020;MONAT01;Januar;CC13-0118500100;Speiseeis;100.1
2020;MONAT01;Januar;CC13-0118601100;Süßstoff;101.7
2020;MONAT01;Januar;CC13-0119101100;Essig;100.9
2020;MONAT01;Januar;CC13-0119102100;Senf;99.6
2020;MONAT01;Januar;CC13-0119103200;Tomatenketchup oder Gewürzketchup;101.4
2020;MONAT01;Januar;CC13-0119103300;Soßenpulver, Soßenbinder oder Ähnliches;99.6
2020;MONAT01;Januar;CC13-0119103400;Grillsoße, Sojasoße, Salatdressing oder Ähnliches;101.8
2020;MONAT01;Januar;CC13-0119104100;Mayonnaise;100.3
2020;MONAT01;Januar;CC13-0119201100;Speisesalz;100.6
2020;MONAT01;Januar;CC13-0119202100;Tiefgefrorene Küchenkräuter;100.7
2020;MONAT01;Januar;CC13-0119203100;Gewürze;101.1
2020;MONAT01;Januar;CC13-0119302100;Säuglingsmilchnahrung, Pulverform;99.9
2020;MONAT01;Januar;CC13-0119303100;Fertignahrung für Säuglinge oder Kleinkinder;95.7
2020;MONAT01;Januar;CC13-0119405100;Verzehrfertige Salate;101.6
2020;MONAT01;Januar;CC13-0119406100;Fertiggericht aus Fleisch oder Fisch;99.4
2020;MONAT01;Januar;CC13-0119407100;Sandwich, Wrap oder Ähnliches;101.6
2020;MONAT01;Januar;CC13-0119911100;Fertigsuppe im Beutel oder Instantbrühe;99.4
2020;MONAT01;Januar;CC13-0119913100;Dosensuppe;96.9
2020;MONAT01;Januar;CC13-0119930100;Backpulver, Vanillezucker oder Ähnliches;102.1
2020;MONAT01;Januar;CC13-0119940100;Puddingpulver;103.3
2020;MONAT01;Januar;CC13-0119990200;Vitamintabletten, Magnesiumtabletten o.Ä.;101.8
2020;MONAT01;Januar;CC13-0119990300;Tortenguss, Gelatine oder Ähnliches;100.5
2020;MONAT01;Januar;CC13-0119990400;Sportriegel;101
2020;MONAT01;Januar;CC13-0121110200;Kaffeepads oder Kaffeekapseln;100
2020;MONAT01;Januar;CC13-0121110300;Bohnenkaffee;102.6
2020;MONAT01;Januar;CC13-0121121100;Instantkaffee oder Ähnliches;100.8
2020;MONAT01;Januar;CC13-0121201100;Schwarzer Tee oder grüner Tee;100.3
2020;MONAT01;Januar;CC13-0121203100;Früchtetee oder Kräutertee;99.3
2020;MONAT01;Januar;CC13-0121300100;Kakaopulver oder Ähnliches;99.4
2020;MONAT01;Januar;CC13-0122100100;Mineralwasser mit Kohlensäure;101.3
2020;MONAT01;Januar;CC13-0122100200;Mineralwasser ohne Kohlensäure;100.2
2020;MONAT01;Januar;CC13-0122211100;Colagetränk;98.8
2020;MONAT01;Januar;CC13-0122219100;Koffeinfreie Limonade;100.7
2020;MONAT01;Januar;CC13-0122230100;Energy-Drinks;101.7
2020;MONAT01;Januar;CC13-0122311100;Apfelsaft oder ähnlicher Fruchtsaft;99
2020;MONAT01;Januar;CC13-0122312200;Orangensaft oder ähnlicher Fruchtsaft;103.3
2020;MONAT01;Januar;CC13-0122315100;Multivitaminsaft;100.9
2020;MONAT01;Januar;CC13-0122320300;Gemüsesaft;100.3
2020;MONAT01;Januar;CC13-0211110100;Likör;101.5
2020;MONAT01;Januar;CC13-0211120100;Whisky;100.3
2020;MONAT01;Januar;CC13-0211130100;Weinbrand, Cognac oder Ähnliches;99
2020;MONAT01;Januar;CC13-0211140100;Andere Spirituosen;100
2020;MONAT01;Januar;CC13-0211200100;Erfrischungsmixgetränk unter 6% Alkoholgehalt;100.5
2020;MONAT01;Januar;CC13-0212110200;Rotwein oder Rosewein;100.6
2020;MONAT01;Januar;CC13-0212120100;Weißwein;101.4
2020;MONAT01;Januar;CC13-0212140100;Sekt, Prosecco oder Champagner;101.6
2020;MONAT01;Januar;CC13-0212200100;Kernobstwein oder anderer Fruchtwein;100.8
2020;MONAT01;Januar;CC13-0212300100;Wein mit mehr als 15% Alkoholgehalt;100.6
2020;MONAT01;Januar;CC13-0212400100;Andere weinhaltige Getränke;101.8
2020;MONAT01;Januar;CC13-0213100100;Pils, Lager, Schwarzbier o.a. untergäriges Bier;101.4
2020;MONAT01;Januar;CC13-0213200100;Weizenbier, Altbier oder anderes obergäriges Bier;100
2020;MONAT01;Januar;CC13-0213300100;Alkoholfreies Bier, Malzbier oder Ähnliches;101.2
2020;MONAT01;Januar;CC13-0213400100;Biermischgetränk;101.6
2020;MONAT01;Januar;CC13-0220100100;Zigaretten;97.4
2020;MONAT01;Januar;CC13-0220200100;Zigarren und Zigarillos;99.2
2020;MONAT01;Januar;CC13-0220301100;Tabak;97.6
2020;MONAT01;Januar;CC13-0220301200;Liquid, Tabakstick o.Ä. für E-Zigarette;100
2020;MONAT01;Januar;CC13-0311000300;Bekleidungsstoffe;100.2
2020;MONAT01;Januar;CC13-0312110000;Sakko, Jacke oder Mantel für Herren;96.4
2020;MONAT01;Januar;CC13-0312121100;Herrenanzug;104.1
2020;MONAT01;Januar;CC13-0312125200;Herrenjeans;97.2
2020;MONAT01;Januar;CC13-0312126100;Herrenstoffhose oder Herrenfreizeithose;100.7
2020;MONAT01;Januar;CC13-0312131000;Herrenhemd;98.7
2020;MONAT01;Januar;CC13-0312132400;Herrenshirt;99.9
2020;MONAT01;Januar;CC13-0312133300;Herrenpullover oder Herrenstrickjacke;98.2
2020;MONAT01;Januar;CC13-0312150000;Herrensportbekleidung oder Herrenbadebekleidung;99.6
2020;MONAT01;Januar;CC13-0312161000;Herrenunterwäsche;101.3
2020;MONAT01;Januar;CC13-0312163200;Herrenschlafanzug;97.6
2020;MONAT01;Januar;CC13-0312170100;Herrenstrümpfe oder Herrensocken;101.2
2020;MONAT01;Januar;CC13-0312210200;Damenjacke oder Damenmantel;91.8
2020;MONAT01;Januar;CC13-0312221200;Kostüm, Kleid oder Hosenanzug für Damen;98.9
2020;MONAT01;Januar;CC13-0312225200;Damenrock;98.4
2020;MONAT01;Januar;CC13-0312227100;Damenstoffhose oder Damenfreizeithose;100.3
2020;MONAT01;Januar;CC13-0312227200;Damenjeans;98.2
2020;MONAT01;Januar;CC13-0312231300;Damenbluse;91.5
2020;MONAT01;Januar;CC13-0312236200;Damenshirt;97.5
2020;MONAT01;Januar;CC13-0312240200;Pullover, Strickjacke oder Twinset für Damen;98
2020;MONAT01;Januar;CC13-0312260000;Damensportbekleidung oder Damenbadebekleidung;99.5
2020;MONAT01;Januar;CC13-0312271100;BH oder andere Miederware;97.5
2020;MONAT01;Januar;CC13-0312273200;Damennachthemd oder Damenschlafanzug;100.3
2020;MONAT01;Januar;CC13-0312279000;Damenunterwäsche;100
2020;MONAT01;Januar;CC13-0312281200;Damenfeinstrumpfhose oder Damenfeinstrümpfe;101.3
2020;MONAT01;Januar;CC13-0312282100;Strümpfe, Socken oder Strumpfhose für Damen;99.2
2020;MONAT01;Januar;CC13-0312311300;Jungenjacke;98.4
2020;MONAT01;Januar;CC13-0312311400;Mädchenjacke;97
2020;MONAT01;Januar;CC13-0312312400;Jungenhose;100.1
2020;MONAT01;Januar;CC13-0312312500;Mädchenhose;99.2
2020;MONAT01;Januar;CC13-0312314500;Jungenshirt oder Hemd;99.6
2020;MONAT01;Januar;CC13-0312314600;Mädchenshirt oder Bluse;98.6
2020;MONAT01;Januar;CC13-0312323200;Kostüm, Kleid, Rock oder Hosenanzug für Mädchen;97.1
2020;MONAT01;Januar;CC13-0312330300;Jungensportbekleidung;102.2
2020;MONAT01;Januar;CC13-0312330400;Mädchensportbekleidung;101.3
2020;MONAT01;Januar;CC13-0312341300;Jungenschlafanzug;104.2
2020;MONAT01;Januar;CC13-0312341400;Mädchenschlafanzug oder Nachthemd;96.8
2020;MONAT01;Januar;CC13-0312343200;Jungenunterwäsche;98.7
2020;MONAT01;Januar;CC13-0312343300;Mädchenunterwäsche;91.6
2020;MONAT01;Januar;CC13-0312347400;Strümpfe, Socken oder Strumpfhose für Jungen;99.9
2020;MONAT01;Januar;CC13-0312347500;Strümpfe, Socken oder Strumpfhose für Mädchen;99.1
2020;MONAT01;Januar;CC13-0312351300;Jacke, Mantel o.Ä. für Säuglinge o. Kleinkinder;97.7
2020;MONAT01;Januar;CC13-0312352100;Strampler, Body o.Ä. für Säuglinge o. Kleinkinder;100.8
2020;MONAT01;Januar;CC13-0313111200;Mütze, Kappe oder Hut;94.9
2020;MONAT01;Januar;CC13-0313114100;Fahrradhelm;98.9
2020;MONAT01;Januar;CC13-0313115100;Handschuhe;98.9
2020;MONAT01;Januar;CC13-0313120200;Krawatte, Schal oder anderes Bekleidungszubehör;98.3
2020;MONAT01;Januar;CC13-0313201000;Strickwolle oder andere Kurzwaren;99.7
2020;MONAT01;Januar;CC13-0314110300;Chemische Reinigung;99
2020;MONAT01;Januar;CC13-0314120200;Waschen und Bügeln von Bekleidung;98.3
2020;MONAT01;Januar;CC13-0314210200;Änderungsschneiderarbeit;99
2020;MONAT01;Januar;CC13-0321110000;Klassische Schuhe oder Freizeitschuhe für Herren;99
2020;MONAT01;Januar;CC13-0321140200;Herrenhausschuhe;98.7
2020;MONAT01;Januar;CC13-0321150100;Herrensportschuhe;101.6
2020;MONAT01;Januar;CC13-0321210000;Pumps oder Freizeitschuhe für Damen;98.1
2020;MONAT01;Januar;CC13-0321240100;Damenhausschuhe;102.9
2020;MONAT01;Januar;CC13-0321250200;Damensportschuhe;104.2
2020;MONAT01;Januar;CC13-0321290100;Schnürsenkel, Einlegesohlen oder ähnliches Zubehör;98.6
2020;MONAT01;Januar;CC13-0321310300;Kinderschuhe;98.7
2020;MONAT01;Januar;CC13-0321310400;Kleinkinderschuhe;95.4
2020;MONAT01;Januar;CC13-0321340100;Kinderhausschuhe;101.4
2020;MONAT01;Januar;CC13-0322000200;Schuhreparatur;98.9
2020;MONAT01;Januar;CC13-0411011200;Nettokaltmiete Wohnung bis 70 m2, gebaut bis 1948;99.4
2020;MONAT01;Januar;CC13-0411014300;Nettokaltmiete Wohnung über 70 m2, gebaut bis 1948;99.4
2020;MONAT01;Januar;CC13-0411021400;Nettokaltmiete Wohnung bis 70 m2, gebaut ab 1949;99.4
2020;MONAT01;Januar;CC13-0411024300;Nettokaltmiete Wohnung über 70 m2, gebaut ab 1949;99.4
2020;MONAT01;Januar;CC13-0411024600;Nettokaltmiete Einfamilienhaus;99.3
2020;MONAT01;Januar;CC13-0412201100;Miete für Garage oder Stellplatz vom Vermieter;99.5
2020;MONAT01;Januar;CC13-0421011200;Unterstellte Miete Wohnung bis 70 m2, geb.bis 1948;99.4
2020;MONAT01;Januar;CC13-0421014300;Unterstellte Miete Wohnung über 70 m2,geb.bis 1948;99.4
2020;MONAT01;Januar;CC13-0421021400;Unterstellte Miete Wohnung bis 70 m2, geb. ab 1949;99.4
2020;MONAT01;Januar;CC13-0421024300;Unterstellte Miete Wohnung über 70 m2,geb. ab 1949;99.4
2020;MONAT01;Januar;CC13-0421024600;Unterstellte Miete Einfamilienhaus;99.3
2020;MONAT01;Januar;CC13-0431001000;Farben oder Lacke;100.9
2020;MONAT01;Januar;CC13-0431002000;Tapete, Wand- oder Deckenverkleidung;101.4
2020;MONAT01;Januar;CC13-0431006100;Tapetenkleister, Verdünnung oder Ähnliches;99.2
2020;MONAT01;Januar;CC13-0431007100;Parkett, Laminat oder andere harte Bodenbeläge;100.5
2020;MONAT01;Januar;CC13-0431009000;Gips, Duschkopf oder Ähnliches;101.1
2020;MONAT01;Januar;CC13-0432100400;Arbeiten an Gas-, Wasser- und Entwässerungsanlagen;99.6
2020;MONAT01;Januar;CC13-0432200200;Elektrikerarbeiten;99.4
2020;MONAT01;Januar;CC13-0432300100;Arbeiten an Heizungs- und Wassererwärmungsanlagen;99.5
2020;MONAT01;Januar;CC13-0432400100;Arbeiten von Malern oder Tapezierern;100.1
2020;MONAT01;Januar;CC13-0432500100;Tischlerarbeiten;100.2
2020;MONAT01;Januar;CC13-0432900100;Abschleifen und Versiegeln von Parkettfußboden;99.4
2020;MONAT01;Januar;CC13-0441000000;Frischwasser;100.8
2020;MONAT01;Januar;CC13-0442000000;Müllabfuhr;99.8
2020;MONAT01;Januar;CC13-0443000000;Abwasserentsorgung;100
2020;MONAT01;Januar;CC13-0444106200;Dienstleistungen für Gartenpflege;99.6
2020;MONAT01;Januar;CC13-0444107100;Grundsteuer B;99.9
2020;MONAT01;Januar;CC13-0444109100;Gebäudereinigung, Wartung von Aufzügen o.Ä.;99.8
2020;MONAT01;Januar;CC13-0444901100;Bürgersteigreinigung oder Straßenreinigung;99.9
2020;MONAT01;Januar;CC13-0444902100;Schornsteinfegerentgelt;98.6
2020;MONAT01;Januar;CC13-0451010000;Strom;99.6
2020;MONAT01;Januar;CC13-0452103000;Erdgas, ohne Betriebskosten;101
2020;MONAT01;Januar;CC13-0452105100;Betriebskosten für eine Gaszentralheizung;99.4
2020;MONAT01;Januar;CC13-0452200200;Flüssiggas, Füllung eines Tankbehälters;119.3
2020;MONAT01;Januar;CC13-0453001100;Leichtes Heizöl;133.3
2020;MONAT01;Januar;CC13-0453005100;Betriebskosten für eine Ölzentralheizung;109.9
2020;MONAT01;Januar;CC13-0454100200;Kohlebriketts;100.3
2020;MONAT01;Januar;CC13-0454900100;Brennholz, Holzpellets o.a. feste Brennstoffe;105.5
2020;MONAT01;Januar;CC13-0455002200;Fernwärme;102.4
2020;MONAT01;Januar;CC13-0511111100;Stuhl oder Eckbank;99.5
2020;MONAT01;Januar;CC13-0511111200;Wohnzimmertisch oder Esszimmertisch;99.4
2020;MONAT01;Januar;CC13-0511113100;Schlafsofa;100.1
2020;MONAT01;Januar;CC13-0511113300;Polstergarnitur;100.9
2020;MONAT01;Januar;CC13-0511114000;Wohnzimmerschrank oder Vitrine;101.1
2020;MONAT01;Januar;CC13-0511114300;Regal;100.1
2020;MONAT01;Januar;CC13-0511121100;Bett;99.7
2020;MONAT01;Januar;CC13-0511122100;Lattenrost oder Sprungrahmen;98.7
2020;MONAT01;Januar;CC13-0511124100;Matratze;100.5
2020;MONAT01;Januar;CC13-0511125200;Kleiderschrank;99.2
2020;MONAT01;Januar;CC13-0511133100;Schrankelement für Einbauküche;101
2020;MONAT01;Januar;CC13-0511139100;Küchenzeile oder Einbauküche;100.2
2020;MONAT01;Januar;CC13-0511141100;Badezimmermöbel;101.2
2020;MONAT01;Januar;CC13-0511200100;Gartenmöbel oder Campingmöbel;101.2
2020;MONAT01;Januar;CC13-0511301200;Deckenleuchte;102.8
2020;MONAT01;Januar;CC13-0511302100;Tischleuchte, Bodenleuchte oder andere Leuchte;100.9
2020;MONAT01;Januar;CC13-0511901100;Kindermöbel;101.5
2020;MONAT01;Januar;CC13-0511903200;Schreibtisch, Computertisch oder Schreibtischstuhl;99.5
2020;MONAT01;Januar;CC13-0511904100;Garderobenmöbel;100.4
2020;MONAT01;Januar;CC13-0512111200;Loser Teppich aus textilem Material;101.1
2020;MONAT01;Januar;CC13-0512120100;Teppichboden, Teppichfliesen oder Ähnliches;100.9
2020;MONAT01;Januar;CC13-0512200200;Linoleum oder anderer elastischer Bodenbelag;99.4
2020;MONAT01;Januar;CC13-0512300100;Verlegen und Fixieren von elastischen Bodenbelägen;99.2
2020;MONAT01;Januar;CC13-0513000200;Reparatur von Einrichtungsgegenständen;99.3
2020;MONAT01;Januar;CC13-0520101000;Gardine, Innenjalousie oder Ähnliches;101.3
2020;MONAT01;Januar;CC13-0520201000;Wolldecke, Bettdecke, Tagesdecke oder Ähnliches;100.9
2020;MONAT01;Januar;CC13-0520205000;Bettbezugsgarnitur oder Bettlaken;98.8
2020;MONAT01;Januar;CC13-0520301100;Tischdecke, Tischläufer oder Ähnliches;100.4
2020;MONAT01;Januar;CC13-0520302200;Handtuch;102
2020;MONAT01;Januar;CC13-0520901100;Badezimmerteppich oder Badezimmergarnitur;100.9
2020;MONAT01;Januar;CC13-0520902200;Sonnenschirm;101.5
2020;MONAT01;Januar;CC13-0531101100;Kühlschrank;100.4
2020;MONAT01;Januar;CC13-0531102100;Gefrierschrank oder Gefriertruhe;102.4
2020;MONAT01;Januar;CC13-0531103100;Kühl- und Gefrierkombination;102
2020;MONAT01;Januar;CC13-0531201200;Waschmaschine;101
2020;MONAT01;Januar;CC13-0531202100;Geschirrspülmaschine;100.7
2020;MONAT01;Januar;CC13-0531203100;Wäschetrockner;101.6
2020;MONAT01;Januar;CC13-0531303100;Herd mit Backofen;101.2
2020;MONAT01;Januar;CC13-0531304100;Mikrowellenherd;101.4
2020;MONAT01;Januar;CC13-0531420100;Kaminofen;100.3
2020;MONAT01;Januar;CC13-0531431100;Dunstabzugshaube, Ventilator oder Ähnliches;101.1
2020;MONAT01;Januar;CC13-0531500100;Staubsauger;102.8
2020;MONAT01;Januar;CC13-0531900200;Nähmaschine;98.6
2020;MONAT01;Januar;CC13-0532100100;Elektrisches Rührgerät oder Mixgerät;100.7
2020;MONAT01;Januar;CC13-0532201100;Kaffeemaschine, Teemaschine, Wasserkocher o.Ä.;100.7
2020;MONAT01;Januar;CC13-0532201300;Kaffeevollautomat oder Espressomaschine;100.8
2020;MONAT01;Januar;CC13-0532300200;Bügeleisen;99.7
2020;MONAT01;Januar;CC13-0532400100;Toaster oder Grillgerät;99.6
